attack,n,clean_acc,adv_acc,attack_success,mean_adv_loss,mean_conf_clean,mean_conf_adv,wall_sec,seed
pgd,1000,0.873,0.0,1.0,18.749868392944336,0.8226423263549805,1.003652414510725e-05,27.50875759124756,0
pgd,1000,0.873,0.0,1.0,18.766963958740234,0.8226423263549805,9.171014426101465e-06,27.233157873153687,1
pgd,1000,0.873,0.0,1.0,18.694875717163086,0.8226423263549805,1.0379142622696236e-05,27.188324451446533,2
rpgd,1000,0.873,0.0,1.0,18.196598052978516,0.8226423263549805,1.825774415920023e-05,37.68842339515686,0
rpgd,1000,0.873,0.0,1.0,18.164291381835938,0.8226423263549805,2.4657007088535465e-05,37.811744689941406,1
rpgd,1000,0.873,0.0,1.0,18.225317001342773,0.8226423263549805,3.201208164682612e-05,37.89513397216797,2
spgd,1000,0.873,0.0,1.0,18.722272872924805,0.8226423263549805,1.0421294973639306e-05,38.165385007858276,0
spgd,1000,0.873,0.0,1.0,18.747568130493164,0.8226423263549805,0.00013921527715865523,38.04653358459473,1
spgd,1000,0.873,0.0,1.0,18.776872634887695,0.8226423263549805,1.3640707038575783e-05,37.776535511016846,2
