attack,adv_acc_mean,adv_acc_std,attack_success,adv_loss_mean,adv_loss_std,wall
pgd,0.0,0.0,1.0,18.73723602294922,0.0376677743195889,27.31007997194926
rpgd,0.0,0.0,1.0,18.195402145385742,0.030530381675899804,37.798434019088745
spgd,0.0,0.0,1.0,18.748904546101887,0.02732440313365573,37.99615136782328
