n_p,iter_p,seed,final_loss,test_accuracy,n_stagnation_episodes,total_stagnant_steps,longest_episode,duration_sec,n_candidate_evals
1,5,0,0.09857988357543945,0.9700000286102295,0,0,0,2.318213939666748,400
1,5,1,0.08530493825674057,0.9449999928474426,0,0,0,1.4483187198638916,400
1,5,2,0.1038077175617218,0.9750000238418579,0,0,0,1.3956282138824463,400
1,5,3,0.07998894900083542,0.9800000190734863,0,0,0,1.427774429321289,400
1,5,4,0.06902492791414261,0.9850000143051147,0,0,0,1.4082815647125244,400
1,10,0,0.10131586343050003,0.9750000238418579,0,0,0,1.3466665744781494,200
1,10,1,0.08660728484392166,0.9449999928474426,0,0,0,1.3931257724761963,200
1,10,2,0.10679109394550323,0.9750000238418579,0,0,0,1.4256796836853027,200
1,10,3,0.07993440330028534,0.9800000190734863,0,0,0,1.340263843536377,200
1,10,4,0.07068631052970886,0.9850000143051147,0,0,0,1.3405811786651611,200
1,50,0,0.10463827103376389,0.9750000238418579,0,0,0,1.2539901733398438,40
1,50,1,0.09228096902370453,0.9350000023841858,0,0,0,1.179260492324829,40
1,50,2,0.11290360242128372,0.9700000286102295,0,0,0,1.2018458843231201,40
1,50,3,0.0881601870059967,0.9750000238418579,0,0,0,1.3149569034576416,40
1,50,4,0.07417746633291245,0.9850000143051147,0,0,0,1.4896032810211182,40
1,100,0,0.10558459162712097,0.9700000286102295,0,0,0,1.2195241451263428,20
1,100,1,0.09066210687160492,0.9399999976158142,0,0,0,1.2649815082550049,20
1,100,2,0.1166924312710762,0.9649999737739563,0,0,0,1.2600927352905273,20
1,100,3,0.08742876350879669,0.9800000190734863,0,0,0,1.272566795349121,20
1,100,4,0.07528018206357956,0.9850000143051147,0,0,0,1.2140758037567139,20
5,5,0,0.0912393257021904,0.9700000286102295,0,0,0,1.952622652053833,2000
5,5,1,0.07619362324476242,0.9549999833106995,0,0,0,2.012857675552368,2000
5,5,2,0.08687425404787064,0.9800000190734863,0,0,0,1.9237852096557617,2000
5,5,3,0.07129485160112381,0.9800000190734863,0,0,0,1.9177677631378174,2000
5,5,4,0.0635659396648407,0.9850000143051147,0,0,0,1.8979454040527344,2000
5,10,0,0.09643032401800156,0.9700000286102295,0,0,0,1.5853257179260254,1000
5,10,1,0.08086273074150085,0.9449999928474426,0,0,0,1.619933843612671,1000
5,10,2,0.09187868237495422,0.9800000190734863,0,0,0,1.624830961227417,1000
5,10,3,0.07594922930002213,0.9850000143051147,0,0,0,1.6934964656829834,1000
5,10,4,0.0672847107052803,0.9850000143051147,0,0,0,1.856039047241211,1000
5,50,0,0.10264626145362854,0.9750000238418579,0,0,0,1.3295235633850098,200
5,50,1,0.08872901648283005,0.9350000023841858,0,0,0,1.2633049488067627,200
5,50,2,0.10894851386547089,0.9750000238418579,0,0,0,1.3156580924987793,200
5,50,3,0.08331343531608582,0.9800000190734863,0,0,0,1.2859814167022705,200
5,50,4,0.07040401548147202,0.9850000143051147,0,0,0,1.304091453552246,200
5,100,0,0.10421857982873917,0.9700000286102295,0,0,0,1.2644603252410889,100
5,100,1,0.09171830862760544,0.9350000023841858,0,0,0,1.230334758758545,100
5,100,2,0.11050005257129669,0.9700000286102295,0,0,0,1.2491662502288818,100
5,100,3,0.08497339487075806,0.9800000190734863,0,0,0,1.2718470096588135,100
5,100,4,0.0718458965420723,0.9850000143051147,0,0,0,1.3397483825683594,100
10,5,0,0.08841045200824738,0.9750000238418579,0,0,0,2.6395890712738037,4000
10,5,1,0.07819916307926178,0.9599999785423279,0,0,0,2.869210958480835,4000
10,5,2,0.08005795627832413,0.9800000190734863,0,0,0,2.6063573360443115,4000
10,5,3,0.07174880802631378,0.9750000238418579,0,0,0,2.9082019329071045,4000
10,5,4,0.061148688197135925,0.9850000143051147,0,0,0,2.7068190574645996,4000
10,10,0,0.08595889806747437,0.9750000238418579,0,0,0,1.9438071250915527,2000
10,10,1,0.07814046740531921,0.949999988079071,0,0,0,1.9301600456237793,2000
10,10,2,0.08328047394752502,0.9800000190734863,0,0,0,1.9776124954223633,2000
10,10,3,0.0731373205780983,0.9800000190734863,0,0,0,1.9690968990325928,2000
