method,seed,step,train_loss,test_rmse,grad_norm
sgd,0,1200,0.6835450530052185,0.9549764394760132,0.0032211411744356155
sgd,0,1230,0.6801848411560059,0.9552839994430542,0.0031076990999281406
sgd,0,1260,0.6770437359809875,0.9555628895759583,0.0030011837370693684
sgd,0,1290,0.6741018891334534,0.9558162689208984,0.0029009224381297827
sgd,0,1320,0.6713418960571289,0.9560474753379822,0.0028063328936696053
sgd,0,1350,0.6687482595443726,0.9562596678733826,0.002716912655159831
sgd,0,1380,0.6663073301315308,0.9564560651779175,0.002632228657603264
sgd,0,1410,0.6640068292617798,0.956639289855957,0.00255190278403461
sgd,0,1440,0.6618358492851257,0.9568114280700684,0.0024756041821092367
sgd,0,1470,0.6597844362258911,0.9569745659828186,0.002403039950877428
sgd,0,1500,0.6578437089920044,0.9571301937103271,0.002333948388695717
adam,0,1,1.2692110538482666,1.121814489364624,0.0003419964050408453
adam,0,30,1.2027817964553833,1.1012617349624634,0.013971592299640179
adam,0,60,0.9884729981422424,1.0305966138839722,0.021023428067564964
adam,0,90,0.8222261667251587,0.9840556979179382,0.017174052074551582
adam,0,120,0.7403382658958435,0.9692991375923157,0.010944966226816177
adam,0,150,0.6982583403587341,0.9678812623023987,0.007100436370819807
adam,0,180,0.67173171043396,0.9684569835662842,0.005180682986974716
adam,0,210,0.6537585854530334,0.9687713980674744,0.004030030220746994
adam,0,240,0.6415789127349854,0.969064474105835,0.0032829914707690477
adam,0,270,0.633206844329834,0.969749391078949,0.0027755468618124723
adam,0,300,0.6272335052490234,0.9706944823265076,0.0024089289363473654
adam,0,330,0.6227706670761108,0.9716075658798218,0.0021351585164666176
adam,0,360,0.6192654967308044,0.9722878932952881,0.0019240392139181495
adam,0,390,0.6163792014122009,0.9726639986038208,0.001752010197378695
adam,0,420,0.6139175891876221,0.9727489948272705,0.0016019601607695222
adam,0,450,0.6117756962776184,0.9725977182388306,0.0014644961338490248
adam,0,480,0.6098930239677429,0.9722844362258911,0.0013364717597141862
adam,0,510,0.6082262396812439,0.9718905687332153,0.001217790530063212
adam,0,540,0.6067424416542053,0.9714810252189636,0.001108907745219767
adam,0,570,0.6054189205169678,0.9710893630981445,0.001010014326311648
adam,0,600,0.6042374968528748,0.970725417137146,0.0009213860612362623
adam,0,630,0.6031781435012817,0.9703902006149292,0.000843226327560842
adam,0,660,0.6022259593009949,0.9700727462768555,0.0007741745212115347
adam,0,690,0.60138338804245,0.9697379469871521,0.0007109915604814887
adam,0,720,0.6006609797477722,0.9693502187728882,0.0006519544404000044
adam,0,750,0.6000551581382751,0.9689056277275085,0.0005987151525914669
adam,0,780,0.5995485186576843,0.9684171080589294,0.0005526386667042971
adam,0,810,0.5991230607032776,0.9678997993469238,0.0005129749188199639
adam,0,840,0.5987646579742432,0.9673696756362915,0.000478490226669237
adam,0,870,0.5984605550765991,0.9668412804603577,0.0004485469253268093
adam,0,900,0.5981982946395874,0.9663236737251282,0.0004227002791594714
adam,0,930,0.5979669094085693,0.9658203721046448,0.000400358549086377
adam,0,960,0.597758412361145,0.9653341174125671,0.00038099088123999536
adam,0,990,0.5975672006607056,0.9648705720901489,0.0003641588264144957
adam,0,1020,0.5973902344703674,0.9644379019737244,0.00034941075136885047
adam,0,1050,0.5972257852554321,0.9640419483184814,0.0003362419083714485
adam,0,1080,0.5970736742019653,0.9636815786361694,0.0003241191734559834
adam,0,1110,0.5969350337982178,0.963352382183075,0.0003126390802208334
adam,0,1140,0.5968109965324402,0.963050901889801,0.0003015764814335853
adam,0,1170,0.5967013835906982,0.9627755880355835,0.00029077663202770054
