method,train_loss_mean,train_loss_std,test_rmse_mean,test_rmse_std,grad_norm_mean,wall_mean
sgd,0.6500102877616882,0.006910459969472313,0.9493467807769775,0.006864448927592424,0.0021207348133126893,2.479422171910604
adam,0.5964197317759196,0.0015076775389638764,0.9634454250335693,0.003191054391721084,0.00013986628376490748,2.782160997390747
rpgd,0.6489020983378092,0.0015321572952731544,0.9471853375434875,0.001770989675405466,0.0019948449141035476,4.150194883346558
spgd,0.6465520262718201,0.0045075714732990746,0.947499414285024,0.0020979086425896997,0.0019561864513282976,4.167813936869304
